,Rock,PAV,SSV,MSV
0,"""daddy's"" flown across the ocean 
 leaving just a memory 
 a snapshot in the family 
 
 I don't know what to do 
 I don't want to know 
 
 I don't want to face it 
 I don't want to fall 
 
 I don't want to fall asleep 
 I don't want to fall down 
 I don't want to fall in love 
 I don't want to fall in love 
 I don't want to fall in love 
 I don't want to face it 
 I don't want to face it 
 I don't want to fall 
 Don't wanna talk about it 
 Don't wanna crumble about it 
",0.5749978761612873,1.0,0.4957487356859914
1,"hello, hello, hello, hello 
 check, check, check 
 
 soothing repeat 
 i look down 
 But I really got to get away 
 
 
 I'm down and I'm in the sea 
 I'm alone, and I'm just a jealous 
 I'm in a state of my 
 And I'm in my head 
 In my soul 
 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed 
 I was shamed",0.0,1.0,0.5312812272526954
2,"oh, sweet thing 
 zion ""doesn't"" love you 
 and babylon ""don't"" love you 
 but I need you, I need you to 
 Be my Wendy, 
 I want to be the one, I want to be 
 As my pleasure in my life 
 I want to be to be free 
 I want to be free 
 I want to be free 
 I want to be free 
 I want to be free 
 I want to be free 
 I want to be free 
 I need to be free 
 I want to be free 
 I want to be free 
 I want to be free 
 I'd be",0.6687931176016718,0.9918245343250585,0.507504131529309
3,"waking up dead, inside of my head 
 would never, never do, there is no med 
 No one else knows what we do 
 
 So I want to see you 
 
 Don't you know you need to go on 
 Don't you want to be your man 
 
 I want to be with you everywhere 
 I want to be with you everywhere 
 I want to be with you everywhere 
 
 And I know that I can't be found 
 
 I know I'm not gonna make you groom 
 'Cause I'm not gonna give you this way 
 I'm not gonna make you groom 
 I'm not gonna make",0.5006425844076967,1.0,0.5178599070124036
4,"at my feeding time 
 ""she'd"" push food through the door 
 i crawl towards the TV 
 And the grease 
 Of the queen 
 
 I was born in the first time 
 And I knew I was in love with you 
 I was the one who would always you 
 I was the only one who thinks I am 
 
 I was born down in Louisiana 
 I had a note to a man 
 I was so tired, now 
 I'm standing in my eyes 
 It was the only thing that I needed 
 
 I was shamed 
 I was shamed 
 I was shamed 
 I was",0.44013906081860166,1.0,0.4992070649446735
5,"i look at you all, see the love there ""that's"" sleeping 
 while my guitar gently 
 
 
 I got the sunlight blues 
 I can't get my hash 
 I got my hash and I got rambling 
 I got myself to get myself back to the top 
 I got a household in my mind 
 I got my freakum dress in my head 
 I got pictures on my mind 
 I got pictures on my mind 
 I got pictures on my mind 
 I got pictures on my mind 
 I got pictures on my mind 
 I got pictures on my mind 
 I got pictures on my mind",0.0,1.0,0.5199549014681588
6,"trying to make a difference 
 but where the fuck did you go wrong ? 
 
 What terrifying final sights 
 And I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't have a gun 
 No, I don't",0.7981047287497416,1.0,0.534066930458746
7,"tracklist1. intro 
 2. arrival in nara 
 3. nara 
 4. every other freckle 
 
 You said that I loved you 
 You know I just don't know what to say 
 
 
 I am a seer, 
 I am a lonely 
 I am the one 
 I am a seer, 
 I was the one who stood 
 I was the only one 
 I was born to be 
 I was a diving in my eyes 
 I was falling by the 
 I was just ten 
 The tip of the night 
 The less of the world 
 The less of our lives 
 The less that I",0.0,1.0,0.49288192219391364
8,"hey, the love of two 
 a desire, is ""what's"" for you 
 is it real or just like it 
 
 
 
 Well, I know that you were there 
 But I know you don't know 
 But you don't know what to do 
 And I don't want to know 
 
 You can do it all 
 You can try to love 
 You can revolt 
 
 You can love me, how you can 
 But you can only do 
 But you don't know how to be 
 
 I want to be free 
 I want to be free 
 I want to be free 
 Let me be",0.0,1.0,0.5124896836527562
9,"everybody calls me the quiet one 
 you can see but you ""can't"" hear me 
 I never thought I'd be 
 
 I guess I was born in this town 
 I was born by the same old age 
 We were born to rotate 
 
 We were born to say 
 But we are goddamn works of art 
 
 So I got to tell you 
 I don't want to be your slave 
 I just want to be your lover 
 I want to be your man 
 I want to be your lover 
 I want to be your lover 
 I want to be your man 
 I want",0.4969153753511265,1.0,0.5231099181956728
