,Jazz,PAV,SSV,MSV
0,"with all my heart, i love you, baby 
 stay with me, and you will see 
 And there's nothing to be 
 And you can get your mate 
 But if you really know 
 I don't know why 
 I can't believe it 
 I know you don't know why 
 You don't know what love is 
 You don't know what love is 
 For you don't know what love is 
 When you don't know what love is 
 You don't know how lips know 
 You don't know you've got you don't know what love is 
 You don't know how lips hurts in the mill 
 I've got a woman",0.4955167470821159,0.9815351529009637,0.4683757386870733
1,"good things will come your way 
 ""you'll"" find a brighter day 
 all that i can get me 
 If you believed in me 
 I'm gonna feed 
 I get a kick 
 I can't be 
 A good day 
 And it feels so good 
 In a kind of rainbow 
 Here the world is a tramp 
 Just a thrill and you 
 With a little bit 
 Of a sign of sparkling burgundy 
 Giddy-up giddy-up giddy-up in the sky 
 And if you like-a me 
 The way you hear me 
 And you can take that 
 I love you 
 I know I'm winnin' 
 I can't",0.26431618650091704,0.9724678990602048,0.40954556384209145
2,"your love, like wine. tasting sweeter to me every day 
 your kiss, devine. and it into my heart 
 I know that I could be true 
 And if I could be 
 The way I love you 
 I can't explain it 
 I could be with you 
 I want to hold you 
 And I long to find you 
 You know you know I know you don't know what I do 
 You don't know what you mean to you 
 I don't want to, now 
 But I don't know what good to do 
 Oh I can't explain you 
 I don't want to leave me 
 I don't",0.42444513190070343,0.9719670779553119,0.45823529685276015
3,"everyday we go through 
 i do something that will please you baby 
 and i trust 
 You know that I don't want to borrow 
 I don't want to leave him 
 And now you don't know what love is 
 Good news 
 How can you bring me 
 Give me the reason 
 I can't live to sing 
 And you know I need you to 
 I know that I could never never meet again 
 I know that I could be the one 
 I will never be there 
 And I know that I could go back on 
 But I can't wait for you 
 I don't know",0.3372741603063258,0.9753725226115435,0.4407854616517395
4,"*miles davis hums to the tune 
 *olu dara plays the trumpet 
 *nas comes in the winter 
 And the moon is falling 
 And the wind are brewin' 
 And the days are gone 
 And the angels and the night 
 And the melody rolls 
 The night is the nappiest and the flowers 
 The sun is the taxes, 
 The trees is the nappiest 
 The night is the laziest 
 The sun is the laziest tenderly 
 The songs are my favorite world 
 The thrill of your hand 
 The waiters whistling 
 Everywhere your hand 
 The waiters whistling 
 The heart is gone 
 The sun is",0.39135448749860946,0.9815074985739203,0.43701952070880906
5,"my heart is sad and lonely 
 for you i yearn, for you dear only 
 I just love you so 
 It's just no one 
 You are my reason 
 You know how much it goes 
 You better not not 
 And you know, I know everything's 
 But I just want to be independently 
 But I know what I am 
 You don't know how lips 
 You don't know, you don't know what love is 
 Until you've got no love to be 
 Until you've got no doubt, 
 Ain't no sunshine when she's gone 
 And this house just ain't no home 
 Anytime I know the meaning",0.37884825071932304,0.9752827447774317,0.45311339782224314
6,"""i'll"" only miss him when i think of him 
 and ""i'll"" think of him all day 
 And the road become the music 
 But the way that I could 
 The way I love again 
 The way I love 
 That I am the love that I feel 
 You are the one that lives 
 I feel the love you lost 
 Just the little man in the sky 
 I wanna be the one you love 
 I want to be the one 
 I love you 
 
 I wanna be free 
 I wanna be the one 
 I want to be the one 
 Love for sale 
",0.4556838087690539,1.0,0.44899565599868546
7,"i who never had much i now have a treasure 
 a love too great to go 
 Come on, come to me, oh, oh, daddy 
 I want to love you 
 So I'll be here with you 
 It's love 
 Love for sale 
 Love for sale 
 Love for sale 
 When I love you so 
 So I'll be alright 
 I want to stay 
 You are this 
 Love is so fine 
 And now I love you 
 For I love you 
 How long is the way you are 
 Baby, love 
 You are the apple of the moon 
 And the love that will come",0.3632269220126744,0.9828012707523894,0.4226875136090916
8,"you must take the ""a"" train 
 to go to sugar hill way up in harlem 
 So we are history 
 But if you like-a them 
 But it may be a chance 
 And you were a way to come 
 Just you to see the sky 
 And I don't want to be independently 
 And the way I feel 
 So now, now, I don't need a little bit 
 But I'm giving to stay 
 But I can't help the rain against 
 And I know the world I was 
 I wish you well 
 How could I be 
 In every one 
 I want to see 
 I",0.29921786249727744,0.9676320156338846,0.42388241248865965
9,"when you see a field where grass is blue 
 and everything looks good to you 
 There's no place to me 
 The way you wear your hat 
 The way you sip my soul 
 You know I'm in love with you 
 And so I know that I'm in love 
 So I'll be in love with you 
 I love you so 
 I love you so 
 I love you 
 I want you 
 I love you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
",0.6892979683794935,1.0,0.4984677453695708
10,"place park, scene dark, silvery moon is shining through the trees 
 cast two, me, you, I can do 
 I hope you know that I knew 
 I don't want to live 
 You know that I'm all of you 
 So I know that I'm the one who found you 
 I wish you forever 
 I just want to hold 
 And I wanna be your love 
 I never knew my heart 
 I never get the lonely 
 I never got to hold you 
 I know that you're in love with me 
 I can't keep on you 
 I love you, baby 
 I want to see you, baby",0.39056064127529466,0.9788493636623932,0.4567674884662384
11,"oh the tango is done with a thin black moustache 
 a wide scarlet sash, black 
 I saw a little curve 
 And I knew I was a 
 I won't be crazy 
 When I know you 
 You go to the wind 
 And I love you 
 Why don't you cry 
 And you don't know 
 What it's like 
 I don't know why 
 My baby just can't stand 
 And so I'm offering 
 And I love you, Porgy 
 Am I 
 If I could never lose 
 I could almost a prayer 
 I was a flame 
 I could be redeemed 
 And I know 
",0.32095602193115386,1.0,0.4178268258923564
12,"""it's"" a funny thing i look at you 
 i get a thrill i never knew 
 I don't want a little bit 
 And I don't know why 
 I don't know why I don't know 
 I know you don't know how to do 
 I don't want to leave you 
 If I love you so 
 I can't tell you no more 
 You don't know what long to do 
 Don't you know you know what it is 
 I love you to 
 I can't explain 
 I should have to hold you 
 I know that I have to be 
 And I knew, 
 I need you 
",0.463053724924246,1.0,0.4773992701022791
13,"""i've"" been holding out so long 
 ""i've"" been sleeping all alone 
 cause i miss the way 
 It's all so long 
 And the sun is through 
 And the love is true 
 I can't forget 
 The moon 
 He were the night 
 The blues 
 The pigs 
 The 
 The milky 
 The milky 
 The 
 Transparent, 
 The heart 
 
 The eyes weightless, 
 The morning's 
 The owls 
 The of the readiest 
 The owls 
 The milky 
 The moon is the sunniest 
 The night is the laziest 
 The trees are the shootiest 
 The moon is the laziest 
 The",0.40632198341360404,1.0,0.460281625045015
