,Folk,PAV,SSV,MSV
0,"i know how it feels to be head over heels 
 to be lost in true mind 
 When I see you coming 
 Whoever be playing, you want to be with you 
 And all of the people will come home again 
 
 I will make you cry 
 But I will be with you 
 I will be there 
 And I will follow you 
 The sweet song 
 In heaven 
 
 In the struggle of the night 
 And it leads me back to the end of the end 
 I was a blindfolded bumblebee my feet 
 I was raised in the sun 
 I was born on the",0.36416484225364915,1.0,0.4711212677553834
1,"holy war 
 genocide 
 suicide 
 hate and cruelty... 
 how can this be holy 
 Nothing can be 
 Be mine, 
 
 
 
 
 You can almost see you when you see 'em till the night comes down 
 And you can make a dust of them 
 And I'll never be ashamed 
 Knowing 
 I don't know if I can 
 I was there at the delta 
 I was born and I was a little wife 
 And I was a cowboy 
 I was a young man 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care",0.0,1.0,0.4855043091176569
2,"late last night so far away 
 i dreamed myself a dream 
 well, i dreamed 
 We played each other 
 
 We died in the underworld 
 And talking in the Korean 
 And the railroads will go down 
 And the sky grows 
 In the bedroom of a wave 
 If I knew you were in love 
 I was a fool for you 
 I was in the kitchen 
 I was a fool to care 
 I was a cowboy of a fool 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 I was a fool to",0.4790475335808479,1.0,0.47789385870186724
3,"photographs and memories 
 christmas cards you sent to me 
 all that i have are pointin' 
 The air of the moon 
 Are those knowledge and blue 
 And the branches of the stars 
 And the world blows me 
 When the morning runs 
 And the wind blows the dust is the sky 
 And the wind is blowing the razor dance 
 And the town is shining as the mountains and the sea 
 And the moon rises on the borderline 
 Of the timeless and the falling 
 And the railroads will come and go 
 And the wind will be gone 
 And the morning breaks 
 And the",0.34817241138717997,0.9691809636396977,0.41049656315926814
4,"i stole your style 
 hope you ""don't"" mind 
 i must try to be all right 
 Just to say it is murder 
 And we can try 
 We were one 
 We are all a sign 
 And the will of the tide 
 I can see the light 
 I can see 
 I could ever understand 
 I can be through the day 
 I can almost feel it 
 I don't live here 
 I don't know what I do 
 I just want to dance with you 
 I can see you again 
 I just want to love you 
 I want to be with you again 
",0.3782563494123014,1.0,0.4742894226304784
5,"within the fire and out upon the sea 
 crazy man michael was walking 
 he was a beggar, of the card 
 And I was there, hell, 
 And I was the army 
 And I ordered my soul 
 And I took a little nut 
 And I wished myself 
 And I holler my tongue 
 I saw my axe 
 And I don't know if I could see 
 I feel so good to be 
 And I can't let go 
 I just can't wait to be there 
 I can't find out what I do 
 If I could find the way I could see 
 I love my shirt,",0.3645631267495247,0.9694703076182809,0.43398185442260706
6,"the old folks ""don't"" talk much 
 they talk so slowly when they do 
 they got a living, 
 They took the steel 
 And the fortune and the tunnels 
 And the blankets began to go 
 And the sun sets heavy to the sky 
 And the wind blows the breast 
 And the fog was a-getting' 
 And the railroads leads the publishment, 
 And the gin got the beach 
 I was sent and dumb 
 And I stumbled at a little apple 
 And I left me standing in the dark 
 I don't know what I do 
 I know it's alright 
 I can see it if I",0.37306160183080816,0.9611750452422436,0.46285323545158136
7,"put your finger in the air, in the air 
 put your finger in the air, 
 And some kind of old 
 And the big Grand Coullee 
 And the hours and the spiders, childs 
 And the moon rises in the way... 
 And the railroads still shines 
 In the morning of a new day 
 I was born in East Virginia 
 And I was a Communist 
 I was a young girl 
 I was a fool 
 I was a fool 
 I was a fool to care 
 I was a fool to care 
 But a fool would care 
 But I was a fool to care 
",0.5287516574373988,1.0,0.48117939453860264
8,"when charlie speaks of lester 
 you know someone great has gone 
 the sweetest swinging no, 
 And I know it's true 
 I can see it 
 I know we can work it 
 I was just a little bit of a guy 
 And the broken of the sun and the stars 
 And the trucks and the stars will be 
 The wind is the taker and the flowers are the world 
 And the wind is the biggest thing that man has ever done 
 I was born in the Garden I was standing in the middle of town 
 Now I didn't come to the one I could have 
",0.347522038998797,1.0,0.483542388357067
9,"you thought that it could never happen 
 to all the people that you became 
 You know it happens everyday 
 You can feel it if you please 
 I can almost feel it 
 I don't feel so good 
 I can't help it if I can't sleep 
 I can't wait to do what I've gotta say 
 I can't do how to do what you do 
 Honey, do you know 
 
 I'm tired of being here 
 I think I was thinking about you 
 I think I heard 
 Someone stirred 
 I believe 
 I love you 
 I believe 
 I love you 
 I love you",0.42432253523645125,1.0,0.4797716610431082
